COUNTY,DEM24,REP24,NLM24,LIB24,GRN24,UNAF24,OTH24,TOTAL24,pct_DEM24,pct_REP24,pct_UNAF24,DEM04,REP04,GRN04,CONST04,LIB04,POP04,UNAF04,OTH04,TOTAL04,pct_DEM04,pct_REP04,pct_UNAF04,DEM06,REP06,GRN06,CONST06,LIB06,POP06,UNAF06,OTH06,TOTAL06,DEM08,REP08,GRN08,CON08,IND08,LIB08,UNAF08,OTH08,TOTAL08,pct_DEM08,pct_REP08,pct_UNAF08,DEM10,REP10,GRN10,CON,LIB10,UNAF10,OTH10,TOTAL10,pct_DEM10,pct_REP10,pct_UNAF10,DEM12,REP12,AmE12,GRN12,LIB12,UNAF12,OTH12,TOTAL12,pct_DEM12,pct_REP12,pct_UNAF12,DEM14,REP14,GRN14,LIB14,UNAF14,OTH14,TOTAL14,pct_DEM14,pct_REP14,pct_UNAF14,DEM16,REP16,GRN16,LIB16,UNAF16,OTH16,TOTAL16,pct_DEM16,pct_REP16,pct_UNAF16,DEM18,REP18,GRN18,LIB18,UNAF18,OTH18,TOTAL18,pct_DEM18,pct_REP18,pct_UNAF18,DEM20,REP20,GRN20,LIB20,WCP20,BAR20,UNAF20,OTH20,TOTAL20,pct_DEM20,pct_REP20,pct_UNAF20,DEM22,REP22,GRN22,LIB22,WCP22,UNAF22,OTH22,TOTAL22,pct_DEM22,pct_REP22,pct_UNAF22,DEM0406_pct_change,REP0406_pct_change,UNAF0406_pct_change,DEM0608_pct_change,REP0608_pct_change,UNAF0608_pct_change,DEM0810_pct_change,REP0810_pct_change,UNAF0810_pct_change,DEM1012_pct_change,REP1012_pct_change,UNAF1012_pct_change,DEM1214_pct_change,REP1214_pct_change,UNAF1214_pct_change,DEM1416_pct_change,REP1416_pct_change,UNAF1416_pct_change,DEM1618_pct_change,REP1618_pct_change,UNAF1618_pct_change,DEM1820_pct_change,REP1820_pct_change,UNAF1820_pct_change,DEM2022_pct_change,REP2022_pct_change,UNAF2022_pct_change,DEM2224_pct_change,REP2224_pct_change,UNAF2224_pct_change,DEM0424_pct_change,REP0424_pct_change,UNAF0424_pct_change
ALLEGANY,10907,23301,67,278,56,8910,502,44021,24.776811067445085,52.93155539401649,20.240339837804683,16873,19260,67,3,21,0,3690,409,40323,41.844604816109914,47.76430325124619,9.151104828509784,16961,19715,107,7,48,1,4291,423,41553,16936,19642,132,2,26,85,4849,498,42170,40.16125207493479,46.57813611572208,11.498695755276263,16610,19828,129,12,119,5305,449,42452,39.12654291906153,46.706868934325826,12.49646659756902,15561,20010,1,121,142,5902,408,42145,36.92252936291375,47.47894174872464,14.00403369320204,15184,20323,118,210,6607,379,42821,35.459237290114665,47.46035823544523,15.429345414633008,14572,21267,119,250,6947,323,43478,33.51580109480657,48.91439348636092,15.978195869175217,13662,21797,139,290,7284,321,43493,31.411951348492863,50.11611063849355,16.747522589842042,12900,22750,75,201,19,20,7800,396,44161,29.211295034079843,51.516043567853984,17.66264350897851,11865,22959,77,229,74,8492,385,44081,26.916358521812118,52.08366416369865,19.26453574102221,0.5188373327044397,2.307887395384225,16.287262872628727,-0.1473969695183067,-0.3702764392594471,13.003961780470751,-1.9248937175247993,0.9469504123816311,9.404000824912353,-6.315472606863335,0.9178938874319145,11.253534401508011,-2.4227234753550544,1.5642178910544726,11.945103354794986,-4.030558482613277,4.644983516213157,5.146057212047828,-6.244853143014,2.4921239479005033,4.851014826543832,-5.5775142731664475,4.372161306601826,7.0840197693574956,-8.023255813953488,0.9186813186813186,8.871794871794872,-8.07416772018542,1.4896119168953352,4.922279792746114,-35.35826468322171,20.981308411214954,141.46341463414635
ANNE ARUNDEL,174740,130719,802,2539,470,106349,3759,419378,41.66646795969269,31.169732317861214,25.35874557082155,136033,119659,804,38,302,3,51283,104,308226,44.13417427472049,38.821838521085176,16.63811618747283,135121,119161,850,84,550,16,53690,71,309543,146761,121113,852,17,1098,893,58606,97,329437,44.54903365438612,36.76363007191056,17.78974432137252,145475,120848,842,76,1114,62244,138,330737,43.9850999434596,36.539002288827675,18.81978732346245,149430,125472,8,874,1397,71739,261,349181,42.79442466800886,35.93322660740419,20.544932284402645,147979,125022,833,1796,76252,332,352214,42.01394606687979,35.49603366135361,21.64933818644347,160300,137190,832,2427,80720,994,382463,41.91255101800697,35.87013645764427,21.10530953320975,164370,136355,846,2923,85006,1444,390944,42.04438487353688,34.87839690595072,21.743779160186623,176209,136772,567,1949,202,112,91775,2729,410315,42.94481069422273,33.333414571731474,22.36696196824391,175690,131021,656,2307,445,98842,3009,411970,42.64630919727165,31.80352938320751,23.992523727455882,-0.6749505998327425,-0.41792197111471036,4.693563169081372,8.614501076812635,1.638119854650431,9.156267461352208,-0.8762545907972827,-0.21880392691123168,6.207555540388356,2.7186801855989002,3.826294187739971,15.254482359745516,-0.9710232215753196,-0.358645753634277,6.290859922775617,8.326181417633585,9.732687047079713,5.859518438860619,2.5389893948845916,-0.6086449449668343,5.309712586719524,7.202652552168887,0.3058193685600088,7.9629673199538855,-0.2945366014221748,-4.204808001637763,7.700354126940888,-0.5407251408731288,-0.2304974011799635,7.594949515388196,28.454125101997306,9.242931998428869,107.37671353079968
BALTIMORE CITY,301169,29470,758,1278,739,64650,5076,403140,74.70580939623952,7.3101155925981045,16.0366125911594,247035,29375,1486,21,118,1,28310,640,306986,80.4710964017903,9.568840272846318,9.221918914869082,262485,31434,1573,54,327,25,33612,930,330440,293573,32585,1492,7,593,568,37921,1403,368142,79.74450076329242,8.851204154918483,10.300644859863857,289979,32042,1407,30,703,40269,1337,365767,79.27970538621581,8.760221671173179,11.00946777593386,309451,33043,22,1403,919,46734,1542,393114,78.71787827449543,8.405449818627675,11.888154581113875,293960,30218,1220,1106,46270,1372,374146,78.5682594495197,8.076526275838845,12.366830060992234,310586,32518,1226,1367,45780,1523,393000,79.02951653944021,8.274300254452926,11.648854961832061,307561,31013,1272,1493,48361,1786,391486,78.56245178627077,7.921866937770444,12.353187598023938,313398,30342,805,963,295,130,52936,3303,402172,77.926359865928,7.544533184806501,13.162527475806371,305086,28327,916,1086,674,57220,4010,397319,76.78615923225418,7.129535713117168,14.401526229553582,5.886050631464655,6.550232232614367,18.72836453549982,11.843724403299236,3.6616402621365403,12.819826252528859,-1.2242270236023067,-1.6664109252723647,6.19181983597479,6.714969014997638,3.1240247175582048,16.054533263800938,-5.005962171717009,-8.549465847532003,-0.9928531689990158,5.655871547149272,7.611357469058177,-1.059001512859304,-0.9739653429323922,-4.628205916723046,5.637833114897335,1.8978349010440205,-2.163608809209041,9.460102148425383,-2.6522185846750777,-6.640959725792631,8.092791295148858,-1.2839002772988601,4.03501959261482,12.984970290108352,21.913494039306173,0.32340425531914896,128.36453549982338
BALTIMORE COUNTY,309642,140636,979,2737,713,120788,6986,582481,53.1591588395158,24.144306852927393,20.73681373298013,260610,121391,1145,36,418,0,49405,5770,438775,59.39490627314683,27.665887983590682,11.259757278787534,271469,126367,1273,70,741,7,53346,5803,459076,298781,131875,1358,15,1133,1187,61745,6233,502327,59.479382951742586,26.252819378611942,12.29179399076697,291137,128704,1326,80,1502,64780,5623,493152,59.03595645967167,26.098241515800403,13.13590941535267,298181,132760,10,1340,1811,75636,6047,515785,57.81110346365249,25.7394069234274,14.664249638899928,298925,132176,1312,2364,84821,4875,524473,56.995307670747586,25.201678637413178,16.172615177521056,310021,144557,1422,2959,89184,4513,552656,56.096559161576096,26.15677745288208,16.137344025940187,312943,144100,1421,3255,93738,4671,560128,55.869908306672755,25.726262568555757,16.735103404936012,316459,143757,909,2259,310,141,102180,5884,571899,55.33477065006234,25.136781144922445,17.866791164174092,311876,138402,908,2535,703,109064,5979,569467,54.766299012936656,24.30377879666425,19.15194383520028,4.00008840788451,3.9377369091614107,7.976925412407651,10.060817257219057,4.358732897037992,15.744385708394256,-2.5583956141789472,-2.4045497630331756,4.91537776338165,2.4194794890378066,3.1514172053704623,16.758258721827723,0.24951287976095055,-0.4398915335944562,12.14368819080861,3.711967884920967,9.367056046483476,5.143773358012757,0.9425167972492186,-0.3161382707167415,5.106297093649085,1.1235272877169324,-0.23802914642609296,9.00595276195353,-1.448212880657526,-3.725035998247042,6.737130553924447,-0.7163103284638767,1.6141385240097685,10.749651580723246,18.814320248647405,15.853728859635394,144.4853759740917
CALVERT,23698,28750,112,457,64,16674,642,70397,33.663366336633665,40.83980851456738,23.685668423370316,20482,20729,87,2,42,0,7547,504,49393,41.46741441094892,41.967485271192274,15.27949304557326,20632,21113,100,8,70,0,7927,473,50323,23263,22220,118,2,105,120,9157,568,55553,41.87532626500819,39.99783990063543,16.483358234478786,23168,22462,119,11,149,9861,526,56296,41.15390081000426,39.89981526218559,17.516342191274692,23377,23459,1,139,193,11214,538,58921,39.67515826275861,39.81432765906892,19.032263539315355,23339,24106,130,275,12113,468,60431,38.62090648839172,39.89012261918552,20.04434809948536,23749,26259,146,409,12752,398,63713,37.27496743207823,41.21450881295811,20.014753660948315,23964,27819,135,493,13598,386,66395,36.09307929813992,41.89923940055727,20.480457865803146,24765,28425,90,335,30,21,14447,574,68687,36.05485754218411,41.38337676707383,21.033092142617964,24044,28148,99,425,71,15555,559,68901,34.89644562488208,40.852817811062245,22.575869726128794,0.7270259790616518,1.8187846350589683,5.035113290049026,12.752035672741371,5.243215080755932,15.516588873470418,-0.40837381249194005,1.089108910891089,7.6881074587747085,0.9021063535911602,4.438607425874811,13.720717979920902,-0.1625529366471318,2.7580033249499127,8.016764758337793,1.7567162260593856,8.931386376835643,5.275324032031701,0.9053012758431934,5.940820290186222,6.634253450439147,3.3425137706559838,2.178367302922463,6.243565230180909,-2.9113668483747226,-0.9744942832014072,7.669412334740777,-1.4390284478456163,2.1386954668182465,7.193828351012536,15.701591641441265,38.69458246900477,120.93547104809859
CAROLINE,5998,10981,44,128,26,4916,227,22320,26.87275985663082,49.198028673835125,22.025089605734767,6838,6385,19,8,52,1,2121,126,15550,43.97427652733119,41.061093247588424,13.639871382636656,6904,6650,26,8,55,1,2426,141,16211,7493,7093,29,3,87,51,2747,94,17597,42.58112178212195,40.30800704665568,15.610615445814627,7409,7460,36,5,59,2950,120,18039,41.07212151449637,41.35484228615777,16.353456400022175,7190,7646,0,36,59,3106,145,18182,39.54460455395446,42.05257947420526,17.082829171708283,6974,7814,31,91,3444,149,18503,37.69118521320867,42.23098956925904,18.61319785980652,6897,8901,26,116,3641,132,19713,34.9870643737635,45.15294475726678,18.470045147871964,6846,9496,26,124,3903,111,20506,33.38535062908417,46.308397542182774,19.03345362332976,6685,10154,33,86,17,2,4303,167,21447,31.169860586562226,47.34461696274537,20.063412132232948,6300,10628,34,111,40,4559,164,21836,28.851437992306284,48.67191793368749,20.878366001099103,0.9559675550405562,3.984962406015038,14.380009429514379,8.531286210892237,6.661654135338346,13.231657048639736,-1.1210463098892298,5.1741153249682785,7.3898798689479435,-2.9558644891348362,2.493297587131367,5.288135593220339,-3.004172461752434,2.1972273083965472,10.882163554410818,-1.1041009463722398,13.91092910161249,5.720092915214867,-0.7394519356241844,6.6846421750365135,7.1958253227135405,-2.3517382413087935,6.929233361415332,10.248526774276199,-5.7591623036649215,4.6681110892259206,5.949337671392052,-4.7936507936507935,3.321415129845691,7.830664619434087,-12.284293653114945,71.98120595144871,131.77746346063176
CARROLL,33450,64648,145,863,139,30672,1197,131114,25.51214973229403,49.30671019113138,23.39338285766585,32380,50410,196,10,73,0,12894,16,95979,33.73654653622147,52.521905833567764,13.434188728784422,32775,52221,230,25,140,1,13894,14,99300,34598,54138,245,4,402,220,15815,28,105450,32.80986249407302,51.339971550497864,14.997629208155525,33152,54316,255,51,304,16304,799,105181,31.519000579952657,51.640505414476,15.500898451241193,32801,56890,6,271,399,19111,987,110465,29.693568098492733,51.500475263658174,17.300502421581495,31372,59696,269,607,21626,884,114454,27.410138570954267,52.15719852517169,18.894927219669036,32679,63556,255,788,23097,841,121216,26.95931230200634,52.43202217529039,19.05441525871172,32661,63926,255,949,24511,840,123142,26.52303844342304,51.91242630459145,19.90466290948661,33972,64711,155,672,39,30,26407,1075,127061,26.736764231353444,50.929081307403536,20.78293103312582,33944,64455,195,805,103,28925,1043,129470,26.21765659998455,49.7837336834788,22.34108287634201,1.2051868802440886,3.4679535052948047,7.755545214828602,5.562166285278414,3.6709369793761133,13.82611199078739,-4.179432337129314,0.3287893900772101,3.092001264622194,-1.0587596525096525,4.73893512040651,17.216633954857706,-4.35657449468004,4.9323255405167865,13.159960232326931,4.166135407369629,6.4660948807290275,6.801997595486914,-0.0550812448361333,0.5821637610925798,6.122007187080573,4.013961605584642,1.2279823545975033,7.73530251723716,-0.08242081714352996,-0.39560507487135105,9.535350475252773,-1.455338204100872,0.2994337134434877,6.039757994814175,3.3045089561457694,28.244395953183894,137.8780828292229
CECIL,19225,35526,145,486,72,17410,821,73685,26.090791884372667,48.21334057135102,23.62760398995725,21502,19222,90,21,63,0,8154,657,49709,43.255748456014004,38.66905389366111,16.40346818483574,22116,20514,115,28,92,1,8933,692,52491,26190,23878,140,3,116,186,11306,824,62643,41.808342512331784,38.117586961033155,18.048305477068467,24525,22852,143,25,208,11222,860,59835,40.98771621960391,38.19169382468455,18.754909334001837,24211,24368,3,140,244,12832,744,62542,38.711585814332764,38.96261712129449,20.517412298935113,22967,24813,129,301,13409,664,62283,36.87523080134226,39.83912142960359,21.529149206043382,22638,27873,149,414,13956,578,65608,34.50493842214364,42.484148274600656,21.271796122424096,21628,28622,149,444,14455,570,65868,32.83536770510718,43.45357381429526,21.945405963442035,21781,31208,104,347,50,9,15384,728,69611,31.289595035267414,44.83199494332793,22.099955466808407,20856,32323,116,457,105,16742,686,71285,29.257206986041943,45.34334011362839,23.486006873816372,2.7762705733405677,6.298137857073219,9.553593328427766,18.421052631578945,16.39855708296773,26.564424045673345,-6.357388316151202,-4.296842281598124,-0.7429683353971342,-1.2803261977573903,6.633992648345878,14.346818748886117,-5.138160340341167,1.8261654629021666,4.496571072319202,-1.4324900944833892,12.332245194051506,4.079349690506376,-4.461524869688135,2.6871883184443726,3.5755230725136142,0.7074163121879046,9.035008035776675,6.426841923209962,-4.246820623479179,3.5728018456805946,8.827353094123765,-7.820291522823168,9.909352473470904,3.989965356588221,-10.589712584875825,84.8194776818229,113.51483934265391
CHARLES,76235,23640,185,456,112,25214,1101,126943,60.05451265528623,18.62253137234822,19.862457953569713,36161,25884,84,12,39,0,10665,984,73829,48.97939833940592,35.059394005065755,14.44554307927779,38634,25879,102,18,84,3,11736,887,77343,48257,25626,127,7,394,151,12546,627,87735,55.00313443893543,29.20841169430672,14.299880321422464,50784,24687,131,19,198,13616,577,90012,56.41914411411811,27.4263431542461,15.126871972625871,55746,25355,1,141,234,15725,575,97777,57.01340806120049,25.931456272947628,16.08251429272733,59369,24538,124,333,16576,540,101480,58.50315333070556,24.180134016554984,16.334253054789123,65003,26453,143,438,17477,497,110011,59.08772759087728,24.04577724045777,15.88659315886593,68932,25149,168,517,18536,515,113817,60.563887644200776,22.095996204433433,16.285792104870097,73290,24915,113,349,84,20,20238,761,119770,61.19228521332553,20.802371211488687,16.89738665776071,74993,23478,131,431,144,22288,869,122334,61.30184576650809,19.191721026043453,18.21897428351889,6.4010974789045925,-0.019320684725066657,10.042194092827005,24.908112025676864,-0.9776266470883729,6.901840490797547,5.236545993327392,-3.664247248887848,8.528614697911685,9.770793950850662,2.7058775873941747,15.489130434782608,6.499121013166864,-3.2222441333070404,5.411764705882352,9.48980107463491,7.804222022984758,5.435569498069498,6.044336415242373,-4.9294975995161225,6.059392344223837,6.322172575871873,-0.9304544912322558,9.182132067328443,2.3236457906945014,-5.767609873570138,10.129459432750272,1.6561545744269466,0.6900076667518528,13.128140703517587,110.82105030281242,-8.669448307834957,136.418190342241
DORCHESTER,9627,9564,34,116,16,4354,255,23966,40.169406659434195,39.90653425686389,18.167403822081283,9527,6359,19,2,8,3,1682,187,17787,53.56158992522629,35.75082925732276,9.456344521279586,9604,6618,20,5,20,1,1843,183,18294,10250,6770,24,1,40,35,2060,172,19352,52.96610169491526,34.98346424142208,10.644894584539067,10395,6982,26,2,41,2187,150,19783,52.545114492240806,35.29292827174847,11.054946165900015,10422,7132,1,25,47,2433,127,20187,51.62728488631297,35.32966760786645,12.052310893149057,10365,7299,30,70,2734,117,20615,50.27892311423721,35.406257579432456,13.262187727382974,10286,7943,27,108,2939,112,21415,48.03175344384777,37.09082418865282,13.724025215970116,9959,8288,25,106,3086,105,21569,46.17274792526311,38.425518104687285,14.307571051045482,9922,8814,19,78,12,4,3403,151,22403,44.288711333303574,39.34294514127572,15.189929920099987,9654,9031,22,111,34,3821,191,22864,42.223582925122464,39.49877536738978,16.711861441567528,0.8017492711370262,3.9135690540948924,9.57193816884661,6.726364014993752,2.2967663946811725,11.774281063483452,1.4146341463414636,3.131462333825702,6.165048543689321,0.2597402597402597,2.1483815525637353,11.248285322359397,-0.5469199769717904,2.3415591699383063,12.371557747636661,-0.7621804148576942,8.82312645567886,7.498171177761521,-3.179078358934474,4.343447060304671,5.001701258931609,-0.3715232453057536,6.346525096525096,10.272197018794555,-2.7010683329973797,2.4619922850011347,12.283279459300617,-0.27967681789931637,5.901893478020153,13.949227950798221,1.049648367796788,50.40100644755464,158.85850178359095
FREDERICK,79406,69543,312,1276,232,54623,1490,206882,38.382266219390765,33.614814241935015,26.4029736758152,44380,55372,300,1,104,0,21107,158,121422,36.55021330566125,45.60293851196653,17.38317603070284,46143,57293,334,7,200,3,22541,49,126570,51643,56885,349,3,464,328,24543,48,134263,38.464059346208565,42.36833677185822,18.279794135390986,52206,57976,359,32,453,26648,77,137751,37.8988174314524,42.08753475473862,19.345050126677847,54642,61114,4,401,578,31482,95,148316,36.84160845761752,41.205264435394696,21.226300601418593,54891,61755,410,792,34456,199,152503,35.99339029396143,40.494285358320816,22.593653895333208,61523,66857,424,1123,37037,285,167249,36.785272258728,39.97452899568906,22.144825978032753,65666,67977,449,1374,40133,361,175960,37.318708797453965,38.632075471698116,22.808024551034325,73384,69574,280,954,81,56,43835,812,188976,38.83244433155533,36.816315299297266,23.196067225467782,77638,68972,333,1173,182,49321,1094,198713,39.07041814073563,34.709354697478275,24.820218103495996,3.8207312051665476,3.352940149756515,6.793954612213958,11.919467741585938,-0.7121288813642155,8.881593540659242,1.090176790658947,1.917904544255955,8.576783604286355,4.666130329847144,5.412584517731475,18.140198138697087,0.4556934226419238,1.0488595084596,9.446667937233975,12.082126395948334,8.261679216257793,7.490712793127467,6.734066934317247,1.6752172547377238,8.35920835920836,11.753418816434683,2.349324036071024,9.22432910572347,5.796903957265889,-0.865265760197775,12.515113493783506,2.277235374430047,0.8278721800150786,10.749984793495672,78.9229382604777,25.592357148017047,158.7909224427915
GARRETT,3478,13993,25,107,18,3098,182,20901,16.64035213626142,66.94894981101382,14.822257308262762,4934,10489,12,2,11,0,1120,201,16769,29.42334068817461,62.54994334784424,6.678990995288927,5102,11088,26,3,23,1,1346,200,17789,5132,11115,30,3,21,34,1562,207,18104,28.347326557666815,61.39527176314626,8.627927529827662,4994,11380,39,3,45,1789,186,18436,27.088305489260144,61.72705576046865,9.703840312432197,4725,11628,0,38,52,2086,206,18735,25.22017614091273,62.065652522017615,11.134240725914065,4640,12109,36,74,2385,188,19432,23.878139151914368,62.31473857554549,12.273569370111156,4444,12643,41,93,2402,153,19776,22.47168284789644,63.93102750809061,12.1460355987055,4203,12927,36,112,2520,142,19940,21.078234704112337,64.8294884653962,12.637913741223672,4013,13537,21,87,10,5,2644,154,20471,19.603341312100046,66.12769283376484,12.915832152801524,3737,13744,25,106,20,2851,159,20642,18.10386590446662,66.58269547524465,13.811646158317991,3.2928263426107405,5.402236652236652,20.17857142857143,0.5880047040376323,0.2435064935064935,16.047548291233284,-2.6890101325019486,2.3841655420602788,14.532650448143405,-5.386463756507809,2.179261862917399,16.60145332588038,-1.7989417989417988,4.13656690746474,14.33365292425695,-4.224137931034483,4.409943017590222,0.7127882599580713,-5.423042304230423,2.2463023016689077,4.912572855953372,-4.520580537711159,4.718805600680746,4.920634920634921,-6.877647645153252,1.5291423505946664,7.829046898638427,-6.9306930693069315,1.811699650756694,8.663626797614873,-29.509525739764896,33.40642577938793,176.60714285714286
